id,taxonomia,r_p_v_e,intensidad,alcaldia,entidad,area_m2,perime_m,intens_num,int2
1191,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,108039.4036,2237.624045,34 a 37.6,4
1195,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,181353.1948,1878.218517,34 a 37.6,4
1209,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,88281.79202,1362.913327,34 a 37.6,4
1212,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,264703.5828,2541.374142,34 a 37.6,4
1214,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,114909.4673,1533.773325,34 a 37.6,4
1231,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,313820.8707,2911.910353,34 a 37.6,4
1251,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,207271.8859,2956.168569,34 a 37.6,4
1271,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,102805.1604,1347.833794,34 a 37.6,4
1274,Temperaturas máximas,Peligro,Alto,Iztacalco,Ciudad de México,118098.307,1604.967095,34 a 37.6,4
1283,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,85928.90614,1204.84538,30 a 33.9,3
1284,Temperaturas máximas,Peligro,Medio,Gustavo A. Madero,Ciudad de México,145339.8501,1611.565774,30 a 33.9,3
1291,Temperaturas máximas,Peligro,Medio,Azcapotzalco,Ciudad de México,1679100.832,5894.184995,30 a 33.9,3
1310,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,274713.2841,3220.866874,34 a 37.6,4
1323,Temperaturas máximas,Peligro,Alto,Gustavo A. Madero,Ciudad de México,224249.867,2418.915325,34 a 37.6,4
